Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
FUNCTION,TC_WRITEKUDO_FUN_005,Viết Kudo,Check data validation,Hashtag,Max,Verify no more than 5 hashtags can be added,Modal open,5 tags; attempt 6th,"1. Add 5 hashtags
2. Attempt to add a 6th",5 accepted; adding a 6th is prevented,Yes,Medium,Abnormal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_006,Viết Kudo,Check component interaction,Hashtag field,Add/Remove,"Verify adding via dropdown creates a chip and ""x"" removes it",Modal open,,"1. Click ""+ Hashtag"" and add a tag
2. Click chip ""x""",Chip added then removed,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_007,Viết Kudo,Check component interaction,Editor toolbar,Toggle,Verify Bold/Italic/Stroke/Number/Quote toggle formatting,"Modal open, text selected",,"1. Select text
2. Toggle each format button",Formatting applied then removed on toggle,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_008,Viết Kudo,Check component interaction,Editor toolbar,Insert link,Verify Link opens URL dialog and inserts a link,Modal open,,"1. Click Link
2. Enter URL and confirm",URL dialog opens; link inserted into content,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_009,Viết Kudo,Check component interaction,Content textarea,Mention,"Verify ""@ + name"" shows mention suggestions",Modal open,,"1. Type ""@"" then a name",Mention suggestion list appears; selecting inserts the mention,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_010,Viết Kudo,Check component interaction,Image upload,Add/Remove,"Verify ""+ Image"" adds a thumbnail and ""x"" removes it",Modal open,Image file,"1. Click ""+ Image"" and pick a file
2. Click thumbnail ""x""",Thumbnail added then removed,Yes,Low,Normal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_011,Viết Kudo,Check branching condition,Image upload,Max images,"Verify max 5 images and ""+ Image"" hides at 5",Modal open,5 images,1. Add 5 images,"5 thumbnails shown; ""+ Image"" button hidden",Yes,Low,Normal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_012,Viết Kudo,Check state transition,Anonymous toggle,Toggle,Verify enabling anonymous reveals the anonymous-name field,Modal open,,"1. Toggle anonymous on
2. Toggle off",On reveals anonymous-name field; off hides it,Yes,Low,Normal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_013,Viết Kudo,Check component interaction,Cancel button,Close,"Verify ""Hủy"" closes the modal and discards changes",Modal open with some input,,"1. Enter some data
2. Click ""Hủy""",Modal closes; changes discarded; nothing sent,Yes,Medium,Normal_Others,,,,
FUNCTION,TC_WRITEKUDO_FUN_014,Viết Kudo,Check component interaction,Send button,Submit,"Verify a valid form submits, shows loading, and closes on success",All required fields filled,Recipient + content + 1 hashtag,"1. Fill required fields
2. Click ""Gửi""",Form validates and submits; loading shown; modal closes on success,Yes,High,Normal_Others,,,,
